"term","Afghanistan_or_ci","Bangladesh_or_ci","Maldives_or_ci","Nepal_or_ci","Sri Lanka_or_ci","Afghanistan_p_value","Bangladesh_p_value","Maldives_p_value","Nepal_p_value","Sri Lanka_p_value"
"q2010 to 19 days","1.49 (0.52-4.13)","1.63 (0.41-5.47)","1.22 (0.62-2.33)","2.73 (1.64-4.56)","3.77 (1.75-8.86)","0.450","0.452","0.549","<0.001","0.001"
"q2020 to 29 days","17590459.73 (0.00-NA)","3.60 (0.69-17.40)","0.83 (0.25-2.55)","3.21 (1.24-8.64)","1.06 (0.38-2.98)","0.981","0.108","0.754","0.017","0.907"
"q20All 30 days","8.23 (2.38-31.33)","0.00 (NA-46966852066183739628822662060882220068206484828428228602444622.00)","1.92 (1.10-3.33)","3.56 (2.32-5.53)","1.60 (0.76-3.46)","0.001","0.989","0.021","<0.001","0.221"
"current_marijuna_use1","0.89 (0.19-4.25)","7.71 (0.48-268.85)","3.55 (1.23-11.02)","1.39 (0.77-2.54)","1.33 (0.46-4.08)","0.878","0.191","0.023","0.281","0.607"
"q407 years old or younger","1.64 (0.46-5.82)","0.00 (NA-11052518927450044416.00)","0.27 (0.07-0.96)","0.74 (0.45-1.19)","0.45 (0.12-1.56)","0.441","0.979","0.049","0.216","0.216"
"q408 or 9 years old","0.95 (0.19-5.01)","0.08 (0.00-1.91)","0.20 (0.04-0.90)","2.04 (1.05-4.10)","1.45 (0.40-5.59)","0.945","0.186","0.037","0.039","0.578"
"q4010 or 11 years old","1.50 (0.17-10.81)","50155975.06 (0.00-NA)","0.59 (0.11-3.48)","1.77 (0.83-3.92)","2543064.05 (0.00-NA)","0.685","0.990","0.542","0.144","0.967"
"q4012 or 13 years old","0.44 (0.03-5.34)","0.32 (0.01-2.79)","0.41 (0.10-1.58)","1.65 (0.90-3.04)","1.71 (0.51-6.24)","0.509","0.354","0.204","0.105","0.392"
"q4014 or 15 years old","1.43 (0.29-8.42)","2.54 (0.20-64.33)","0.60 (0.15-2.16)","1.21 (0.59-2.48)","1.99 (0.90-4.57)","0.669","0.499","0.444","0.600","0.093"
"q4016 or 17 years old","0.70 (0.12-3.96)",NA,"1.12 (0.22-5.41)","4.15 (1.43-13.88)","9.61 (1.46-188.50)","0.689",NA,"0.886","0.012","0.044"
"q4018 years old or older","0.00 (NA-5114782895624035486668664468846628484200000260284242642068848888848208064088840248844486480266426664866082662284006220068280400.00)",NA,"0.47 (0.01-21.24)",NA,"677371.33 (0.00-NA)","0.992",NA,"0.682",NA,"0.993"
"smoking_status1","3.75 (1.66-8.87)","2.13 (1.24-3.63)","2.40 (1.65-3.48)","1.85 (1.29-2.66)","2.14 (1.07-4.52)","0.002","0.006","<0.001","<0.001","0.038"
"q541","1.29 (0.95-1.76)","0.80 (0.60-1.07)","0.62 (0.50-0.77)","0.84 (0.73-0.96)","0.94 (0.79-1.11)","0.107","0.127","<0.001","0.009","0.446"
"q6Rarely","1.12 (0.70-1.74)","2.12 (1.32-3.38)","1.30 (0.96-1.74)","1.04 (0.78-1.38)","1.37 (1.07-1.76)","0.638","0.002","0.084","0.787","0.014"
"q6Sometimes","1.43 (0.98-2.07)","0.80 (0.58-1.09)","1.14 (0.85-1.52)","1.37 (1.18-1.59)","1.58 (1.20-2.09)","0.060","0.154","0.378","<0.001","0.001"
"q6Most of the time","1.38 (0.89-2.12)","1.55 (0.94-2.52)","1.74 (1.02-2.89)","0.80 (0.51-1.24)","2.17 (0.86-5.64)","0.150","0.082","0.037","0.328","0.103"
"q6Always","1.53 (0.85-2.72)","1.30 (0.71-2.28)","3.52 (1.55-8.13)","0.98 (0.57-1.66)","2.35 (1.22-4.66)","0.151","0.382","0.003","0.927","0.012"
"miss_school_catOften","0.63 (0.27-1.42)","0.65 (0.30-1.32)","1.38 (0.92-2.04)","0.78 (0.50-1.18)","0.88 (0.52-1.46)","0.277","0.252","0.113","0.242","0.616"
"miss_school_catSometimes","1.91 (1.26-2.90)","0.66 (0.48-0.90)","1.15 (0.90-1.47)","1.20 (1.02-1.40)","1.34 (1.10-1.62)","0.002","0.010","0.254","0.024","0.003"
"q178 or 9 times",NA,"39.83 (10.32-194.60)","2.54 (0.77-8.25)","4.40 (2.09-9.83)","1.77 (0.45-7.75)",NA,"<0.001","0.120","<0.001","0.424"
"educationGrade 12",NA,NA,"0.30 (0.15-0.58)",NA,"0.79 (0.39-1.56)",NA,NA,"<0.001",NA,"0.496"
"educationGrade 13",NA,NA,NA,NA,"0.61 (0.11-3.34)",NA,NA,NA,NA,"0.572"
